activity_name,activity_type,destination_name,price
Boat Ride,boating,Eiffel Tower,30.00
Guided Hiking Tour,hiking,Grand Canyon,50.00
Scuba Diving,diving,Bali Beach,100.00
Mountain Trek,trekking,Mount Everest,150.00
City Sightseeing,sightseeing,Statue of Liberty,25.00
Helicopter Tour,adventure,Machu Picchu,200.00
Beach Camping,camping,Santorini,70.00
Historical Tour,sightseeing,Colosseum,40.00
Sunset Cruise,boating,Sydney Opera House,80.00
Safari Tour,adventure,Serengeti National Park,120.00
River Rafting,kayaking,Victoria Falls,90.00
Ice Cave Tour,adventure,Aurora Borealis,130.00
Temple Exploration,sightseeing,Angkor Wat,20.00
Hot Air Balloon,adventure,Cappadocia,250.00
Sand Dune Safari,adventure,Burj Khalifa,110.00
Lake Kayaking,kayaking,Banff National Park,60.00
Cliff Diving,diving,Great Wall of China,75.00
Paragliding,adventure,Hallstatt,95.00
Cultural Show,sightseeing,Petra,30.00
Wildlife Photography,adventure,Serengeti National Park,85.00
Night Safari,adventure,Table Mountain,100.00
Underwater Walk,diving,Great Barrier Reef,120.00
Stargazing,camping,Death Valley,70.00
Historical Walk,sightseeing,Taj Mahal,35.00
